key,zh_text,en_translation
dodgedAutoAttack,你閃避了敵人的自動攻擊！(戰鬥幸運 {luck}),
dodgedSymbolAttack,你閃避了敵人符號攻擊（戰鬥幸運 {luck}）！,
empty,空,
encounterEnemy,遭遇,
encounterEnemyName,遭遇敵人：,
enemy,敵人,
enemyAttack,敵人攻擊,
enemyAutoAttack,敵人自動普攻，造成,
enemyAutoAttackDamage,敵人自動攻擊，造成 {damage} 傷害（護盾吸收 {absorbed}），玩家 HP -{actual}。,
enemySymbolAttack,敵人攻擊 x{count}，原始傷害 {raw}，護盾吸收 {absorbed}，實際受損 {actual}。,
enhanceBtn,強化,
enhanceCost,金幣不足，無法強化。,
enhanceFailed,強化失敗，,
enhanceLevel,強化等級,
enhanceSuccess,強化成功！,
enterBattle,進入插槽戰鬥！,
enterPyramid,⚡ 你踏入了金字塔深處...,
equip,裝備,
equipTo,裝備,
equipmentAndInventory,裝備與背包,
equipmentManagement,裝備管理,
equipped,已裝備,
err_not_enough_mana,魔力不足，無法施放技能,
err_not_in_battle_cant_spin,目前不在戰鬥中，無法使用旋轉。,
eventName_ancient_puzzle,古老謎題,
eventName_ancient_shrine,神殿,
eventName_bandit_ambush,強盜,
eventName_black_market,黑市,
eventName_boss,頭目,
eventName_buried_treasure,寶藏,
eventName_caravan_rest,驛站,
eventName_cursed_shrine,詛咒神殿,
eventName_dead_traveler,旅者遺體,
eventName_desert_oasis,沙漠綠洲,
eventName_elite,精英敵人,
eventName_empty,平靜路段,
eventName_lost_merchant,迷失商隊,
eventName_merchant,商人,
eventName_mini_boss,小頭目,
eventName_mirage,海市蜃樓,
eventName_monster,普通敵人,
eventName_oasis,綠洲,
eventName_pyramid,金字塔,
eventName_quicksand,流沙,
eventName_sandstorm,沙塵暴,
eventName_scorpion_nest,毒蠍巢穴,
eventName_trading_post,交易站,
evt_js_battle_js_129,${t('encounterEnemyName')}${this.enemy.name},
evt_js_battle_js_129_1,${t('encounterEnemyName')}${this.enemy.name},
evt_js_battle_js_168,${t('pyramidEnemyStrong')}${hpMultiplier.toFixed(1)}、${t('attackX')}${atkMultiplier.toFixed(1)}、${t('strengthX')}${strengthBonus.toFixed(1)},
evt_js_battle_js_168_1,${t('pyramidEnemyStrong')}${hpMultiplier.toFixed(1)}、${t('attackX')}${atkMultiplier.toFixed(1)}、${t('strengthX')}${strengthBonus.toFixed(1)},
evt_js_battle_js_263,🎲 戰鬥幸運發揮，避免屍毒！,
evt_js_battle_js_279,💀 屍毒蔓延！每回合失血 ${perTick}（持續 3 回合）,
evt_js_battle_js_279_1,💀 屍毒蔓延！每回合失血 ${perTick}（持續 3 回合）,
evt_js_battle_js_324,主要符號：${primary}，匹配數：${matchCount}${bonusMsg}，連續 x${effectiveCombo}（乘數 x${comboMultiplier}）,
evt_js_battle_js_324_1,主要符號：${primary}，匹配數：${matchCount}${bonusMsg}，連續 x${effectiveCombo}（乘數 x${comboMultiplier}）,
evt_js_battle_js_336,目前連續主符號：${this.consecutivePrimarySymbol} x${this.consecutivePrimaryCount},
evt_js_battle_js_336_1,目前連續主符號：${this.consecutivePrimarySymbol} x${this.consecutivePrimaryCount},
evt_js_battle_js_526,🔺 金字塔經驗值 x${pyramidMultiplier}！,
evt_js_battle_js_526_1,🔺 金字塔經驗值 x${pyramidMultiplier}！,
evt_js_battle_js_559,💀 屍毒：受到 ${total} 點傷害（${info.stacks.length} 層，最短 ${minTurns} 回合）,
evt_js_battle_js_559_1,💀 屍毒：受到 ${total} 點傷害（${info.stacks.length} 層，最短 ${minTurns} 回合）,
evt_js_battle_js_570,🟢 屍毒已消失,
evt_js_battle_js_576,💀 屍毒：受到 ${info.dmg} 點傷害（剩餘 ${info.turns} 回合）,
evt_js_battle_js_576_1,💀 屍毒：受到 ${info.dmg} 點傷害（剩餘 ${info.turns} 回合）,
evt_js_battle_js_580,🟢 屍毒已消失,
evt_js_battle_js_609,🔥 敵人 ${key}：受到 ${total} 點傷害（${info.stacks.length} 層，最短 ${minTurns} 回合）,
evt_js_battle_js_609_1,🔥 敵人 ${key}：受到 ${total} 點傷害（${info.stacks.length} 層，最短 ${minTurns} 回合）,
evt_js_battle_js_618,🟢 敵人 ${key} 效果消失,
evt_js_battle_js_618_1,🟢 敵人 ${key} 效果消失,
evt_js_battle_js_623,🔥 敵人 ${key}：受到 ${info.dmg} 點傷害（剩餘 ${info.turns} 回合）,
evt_js_battle_js_623_1,🔥 敵人 ${key}：受到 ${info.dmg} 點傷害（剩餘 ${info.turns} 回合）,
evt_js_battle_js_627,🟢 敵人 ${key} 效果消失,
evt_js_battle_js_627_1,🟢 敵人 ${key} 效果消失,
evt_js_battle_js_647,🔺 金字塔寶藏！掉落 ${dropCount} 件裝備,
evt_js_battle_js_647_1,🔺 金字塔寶藏！掉落 ${dropCount} 件裝備,
evt_js_battle_js_656,✨ 獲得 ${this.formatItem(dropped)},
evt_js_battle_js_656_1,✨ 獲得 ${this.formatItem(dropped)},
evt_js_battle_js_664,👑 終極頭目掉落 ${dropCount} 件裝備！,
evt_js_battle_js_664_1,👑 終極頭目掉落 ${dropCount} 件裝備！,
evt_js_battle_js_672,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_672_1,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_679,💎 小頭目掉落 ${dropCount} 件裝備！,
evt_js_battle_js_679_1,💎 小頭目掉落 ${dropCount} 件裝備！,
evt_js_battle_js_685,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_685_1,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_694,⚔️ 精英掉落 ${dropCount} 件裝備！,
evt_js_battle_js_694_1,⚔️ 精英掉落 ${dropCount} 件裝備！,
evt_js_battle_js_701,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_701_1,獲得 ${this.formatItem(dropped)},
evt_js_battle_js_714,敵人掉落：${this.formatItem(dropped)},
evt_js_battle_js_714_1,敵人掉落：${this.formatItem(dropped)},
evt_js_battle_js_771,HP 歸零，消耗一瓶藥水自動復活並回滿 HP/體力。剩餘藥水：${this.player.potions},
evt_js_battle_js_771_1,HP 歸零，消耗一瓶藥水自動復活並回滿 HP/體力。剩餘藥水：${this.player.potions},
evt_js_battle_js_773,你倒下了，遊戲結束。沒有藥水可用。請重新整理頁面以重玩。,
evt_js_battle_js_97,${t('encounterEnemy')} ${type}，${t('enterBattle')},
evt_js_battle_js_97_1,${t('encounterEnemy')} ${type}，${t('enterBattle')},
evt_js_core_Bloodline_js_91,🧨 血脈觸發：對敵人施加 ${statusName}，每回合失血 ${dmgPerTurn}（持續 ${duration} 回合）,
evt_js_core_Bloodline_js_91_1,🧨 血脈觸發：對敵人施加 ${statusName}，每回合失血 ${dmgPerTurn}（持續 ${duration} 回合）,
evt_js_core_Bloodline_js_94,🧨 血脈觸發：對敵人施加 ${statusName}，每回合失血 ${dmgPerTurn}（持續 ${duration} 回合）,
evt_js_core_Bloodline_js_94_1,🧨 血脈觸發：對敵人施加 ${statusName}，每回合失血 ${dmgPerTurn}（持續 ${duration} 回合）,
evt_js_equipment_js_113,"${t('unequipped')} ${oldEquipment.name}, ${t('addedToInventory')}.",
evt_js_equipment_js_113_1,"${t('unequipped')} ${oldEquipment.name}, ${t('addedToInventory')}.",
evt_js_equipment_js_118,${t('equipTo')} ${it.name} ${t('to')} ${it.slot},
evt_js_equipment_js_118_1,${t('equipTo')} ${it.name} ${t('to')} ${it.slot},
evt_js_equipment_js_123,${t('gainedGoldLuck')} +${it.luck_gold},
evt_js_equipment_js_123_1,${t('gainedGoldLuck')} +${it.luck_gold},
evt_js_equipment_js_128,${t('maxHpBonus')} +${it.max_hp_bonus},
evt_js_equipment_js_128_1,${t('maxHpBonus')} +${it.max_hp_bonus},
evt_js_equipment_js_133,${t('maxStaminaBonus')} +${it.stamina_bonus},
evt_js_equipment_js_133_1,${t('maxStaminaBonus')} +${it.stamina_bonus},
evt_js_equipment_js_157,"${t('unequipped')} ${it.name}, ${t('addedToInventory')}.",
evt_js_equipment_js_157_1,"${t('unequipped')} ${it.name}, ${t('addedToInventory')}.",
evt_js_equipment_js_162,${t('goldLuckRemaining')} -${it.luck_gold}（${t('remaining')} ${this.player.luck_gold}）。,
evt_js_equipment_js_162_1,${t('goldLuckRemaining')} -${it.luck_gold}（${t('remaining')} ${this.player.luck_gold}）。,
evt_js_equipment_js_167,${t('maxHpBonus')} -${it.max_hp_bonus},
evt_js_equipment_js_167_1,${t('maxHpBonus')} -${it.max_hp_bonus},
evt_js_equipment_js_172,${t('maxStaminaBonus')} -${it.stamina_bonus},
evt_js_equipment_js_172_1,${t('maxStaminaBonus')} -${it.stamina_bonus},
evt_js_events_choices_js_108,💸 你的金幣不夠購買藥水。,
evt_js_events_choices_js_109,🧙 煉金術師：「等你有錢了再來吧。」,
evt_js_events_choices_js_115,🧪 你花費 ${totalCost} 金幣購買了 ${buyCount} 瓶高品質藥水！,
evt_js_events_choices_js_115_1,🧪 你花費 ${totalCost} 金幣購買了 ${buyCount} 瓶高品質藥水！,
evt_js_events_choices_js_122,💸 你沒有足夠的金幣（需要 150 金幣）。,
evt_js_events_choices_js_129,💪 你獲得了力量藥劑！最大HP永久 +40！,
evt_js_events_choices_js_133,🏃 你獲得了敏捷藥劑！最大體力永久 +30！,
evt_js_events_choices_js_137,🍀 你獲得了幸運藥劑！戰鬥幸運 +3，金幣幸運 +2！,
evt_js_events_choices_js_143,📚 煉金術師開始教導你煉金的奧秘...,
evt_js_events_choices_js_147,😓 學習很累人，消耗 20 體力。,
evt_js_events_choices_js_150,✨ 你學會了基礎煉金術！,
evt_js_events_choices_js_151,🧪 從現在開始，使用藥水時額外恢復 20% HP！,
evt_js_events_choices_js_154,📖 你的煉金知識更加精進，獲得 2 瓶藥水！,
evt_js_events_choices_js_167,📜 你發現了一塊刻有古老文字的石碑...,
evt_js_events_choices_js_178,🔍 你努力解讀石碑上的文字...,
evt_js_events_choices_js_183,💡 你成功解讀了古老的知識！,
evt_js_events_choices_js_188,📖 石碑記載了古老的體能訓練法，最大HP +25！,
evt_js_events_choices_js_191,📖 石碑記載了戰鬥技巧，戰鬥幸運 +2！,
evt_js_events_choices_js_194,📖 石碑記載了寶藏的位置線索，金幣幸運 +2！,
evt_js_events_choices_js_199,😕 文字太古老了，你只能理解一小部分。,
evt_js_events_choices_js_200,但你仍然學到了一些東西。,
evt_js_events_choices_js_203,✋ 你的手觸碰到了石碑...,
evt_js_events_choices_js_206,✨ 石碑散發出溫暖的光芒！,
evt_js_events_choices_js_210,💫 你的生命和體力完全恢復，並獲得 30 點護盾！,
evt_js_events_choices_js_214,🌀 石碑的魔法將你傳送到了另一個地方！,
evt_js_events_choices_js_216,📍 地圖進度 +2（${this.map_steps}/${this.map_goal}）,
evt_js_events_choices_js_216_1,📍 地圖進度 +2（${this.map_steps}/${this.map_goal}）,
evt_js_events_choices_js_219,💰 你在新地點發現了 ${gold} 金幣！,
evt_js_events_choices_js_219_1,💰 你在新地點發現了 ${gold} 金幣！,
evt_js_events_choices_js_221,⚠️ 石碑是個陷阱！,
evt_js_events_choices_js_224,💥 魔法能量爆發，你受到 ${damage} 點傷害！,
evt_js_events_choices_js_224_1,💥 魔法能量爆發，你受到 ${damage} 點傷害！,
evt_js_events_choices_js_227,🚶 你決定不理會石碑，繼續你的旅程。,
evt_js_events_choices_js_228,安全第一總是沒錯的。,
evt_js_events_choices_js_23,🏔️ 洞穴空無一人，你安全地度過了沙塵暴。,
evt_js_events_choices_js_230,體力恢復 10 點。,
evt_js_events_choices_js_242,🐺 你遭遇了一群沙漠野獸！,
evt_js_events_choices_js_253,⚔️ 你決定迎擊野獸群！,
evt_js_events_choices_js_26,💤 趁機休息，恢復 30 HP 和 20 體力。,
evt_js_events_choices_js_260,😓 你的體力不足以嚇跑野獸！,
evt_js_events_choices_js_261,🐺 野獸們嗅到了你的虛弱，發起攻擊！,
evt_js_events_choices_js_267,💪 你展現出強大的氣勢，成功嚇跑了野獸！（消耗 ${staminaCost} 體力）,
evt_js_events_choices_js_267_1,💪 你展現出強大的氣勢，成功嚇跑了野獸！（消耗 ${staminaCost} 體力）,
evt_js_events_choices_js_271,💰 野獸逃跑時掉落了 ${gold} 金幣！,
evt_js_events_choices_js_271_1,💰 野獸逃跑時掉落了 ${gold} 金幣！,
evt_js_events_choices_js_277,😰 嚇唬失敗！野獸更加憤怒了！（消耗 ${staminaCost} 體力）,
evt_js_events_choices_js_277_1,😰 嚇唬失敗！野獸更加憤怒了！（消耗 ${staminaCost} 體力）,
evt_js_events_choices_js_283,🧪 你沒有藥水可以當作食物！,
evt_js_events_choices_js_284,🐺 野獸們向你撲來！,
evt_js_events_choices_js_288,🍖 你用藥水中的草藥安撫了野獸。,
evt_js_events_choices_js_289,🐺 野獸們吃飽後滿意地離開了。,
evt_js_events_choices_js_29,👴 洞穴中住著一位隱士，他分享了食物和故事。,
evt_js_events_choices_js_294,🎁 野獸頭領留下了一件物品：${this.formatItem(item)}！,
evt_js_events_choices_js_294_1,🎁 野獸頭領留下了一件物品：${this.formatItem(item)}！,
evt_js_events_choices_js_298,💰 野獸離開時留下了 ${gold} 金幣。,
evt_js_events_choices_js_298_1,💰 野獸離開時留下了 ${gold} 金幣。,
evt_js_events_choices_js_314,🌙 在月光下，你發現了一座神秘的祭壇...,
evt_js_events_choices_js_325,🙏 你跪在祭壇前虔誠祈禱...,
evt_js_events_choices_js_328,✨ 月神回應了你的祈禱！,
evt_js_events_choices_js_33,📖 你從隱士的故事中學到了很多！,
evt_js_events_choices_js_330,🌙 你獲得月神祝福，接下來 5 場戰鬥暴擊率大幅提升！,
evt_js_events_choices_js_334,🌟 月光照耀著你。,
evt_js_events_choices_js_337,恢復 40 HP，戰鬥幸運 +1。,
evt_js_events_choices_js_339,...,
evt_js_events_choices_js_340,月神似乎沒有回應，但祈禱讓你內心平靜。,
evt_js_events_choices_js_346,💸 你沒有足夠的金幣獻祭。,
evt_js_events_choices_js_347,🌙 但月神欣賞你的誠意。,
evt_js_events_choices_js_349,金幣幸運 +1。,
evt_js_events_choices_js_352,💰 你獻上了 ${offerCost} 金幣。,
evt_js_events_choices_js_352_1,💰 你獻上了 ${offerCost} 金幣。,
evt_js_events_choices_js_353,✨ 祭壇綻放出耀眼的光芒！,
evt_js_events_choices_js_358,💎 月神慷慨地回饋你 ${goldReturn} 金幣！,
evt_js_events_choices_js_358_1,💎 月神慷慨地回饋你 ${goldReturn} 金幣！,
evt_js_events_choices_js_362,⚔️ 月神賜予你一件珍貴的裝備：${this.formatItem(item)}！,
evt_js_events_choices_js_362_1,⚔️ 月神賜予你一件珍貴的裝備：${this.formatItem(item)}！,
evt_js_events_choices_js_368,🌙 月神的力量強化了你的身體！最大HP +35，最大體力 +25！,
evt_js_events_choices_js_37,🎁 隱士送給你一件禮物：${this.formatItem(item)},
evt_js_events_choices_js_372,👁️ 你伸手去拿祭壇上的寶物...,
evt_js_events_choices_js_375,🎉 沒有觸發任何機關！,
evt_js_events_choices_js_37_1,🎁 隱士送給你一件禮物：${this.formatItem(item)},
evt_js_events_choices_js_380,💰 你獲得了 ${gold} 金幣和 ${this.formatItem(item)}！,
evt_js_events_choices_js_380_1,💰 你獲得了 ${gold} 金幣和 ${this.formatItem(item)}！,
evt_js_events_choices_js_384,⚠️ 祭壇的守護魔法觸發了！,
evt_js_events_choices_js_387,⚔️ 你拿到了 ${this.formatItem(item)},
evt_js_events_choices_js_387_1,⚔️ 你拿到了 ${this.formatItem(item)},
evt_js_events_choices_js_391,😈 但受到詛咒！損失 ${curse} HP 和 10 最大HP！,
evt_js_events_choices_js_391_1,😈 但受到詛咒！損失 ${curse} HP 和 10 最大HP！,
evt_js_events_choices_js_395,👹 祭壇的守護者被喚醒了！,
evt_js_events_choices_js_41,🐺 洞穴是野獸的巢穴！你必須戰鬥！,
evt_js_events_choices_js_410,🐪 你發現了一處商隊遺骸...,
evt_js_events_choices_js_421,🔍 你仔細搜索每一個角落...,
evt_js_events_choices_js_423,😓 仔細搜索消耗了 15 體力。,
evt_js_events_choices_js_426,💰 你找到了 ${gold} 金幣！,
evt_js_events_choices_js_426_1,💰 你找到了 ${gold} 金幣！,
evt_js_events_choices_js_433,⚔️ 找到了 ${this.formatItem(item)}！,
evt_js_events_choices_js_433_1,⚔️ 找到了 ${this.formatItem(item)}！,
evt_js_events_choices_js_439,🧪 還找到了 ${potions} 瓶藥水！,
evt_js_events_choices_js_439_1,🧪 還找到了 ${potions} 瓶藥水！,
evt_js_events_choices_js_444,💨 你快速搜刮了一遍...,
evt_js_events_choices_js_449,💰 你找到了 ${gold} 金幣。,
evt_js_events_choices_js_449_1,💰 你找到了 ${gold} 金幣。,
evt_js_events_choices_js_45,🏛️ 你躲進了古老的廢墟中...,
evt_js_events_choices_js_453,⚔️ 還找到了 ${this.formatItem(item)}。,
evt_js_events_choices_js_453_1,⚔️ 還找到了 ${this.formatItem(item)}。,
evt_js_events_choices_js_458,💥 你觸發了殘留的陷阱！,
evt_js_events_choices_js_461,受到 ${damage} 點傷害。,
evt_js_events_choices_js_461_1,受到 ${damage} 點傷害。,
evt_js_events_choices_js_464,💰 匆忙中你還是撿到了 ${gold} 金幣。,
evt_js_events_choices_js_464_1,💰 匆忙中你還是撿到了 ${gold} 金幣。,
evt_js_events_choices_js_468,⚠️ 其他掠奪者也盯上了這裡！,
evt_js_events_choices_js_472,🔍 你檢查商隊成員的狀況...,
evt_js_events_choices_js_475,😊 你找到了一位倖存者！,
evt_js_events_choices_js_478,💰 倖存者感激地給了你 ${gold} 金幣作為酬謝。,
evt_js_events_choices_js_478_1,💰 倖存者感激地給了你 ${gold} 金幣作為酬謝。,
evt_js_events_choices_js_481,🎁 還送給你一件珍貴物品：${this.formatItem(item)}！,
evt_js_events_choices_js_481_1,🎁 還送給你一件珍貴物品：${this.formatItem(item)}！,
evt_js_events_choices_js_484,😌 救人一命讓你心情愉悅。,
evt_js_events_choices_js_488,😔 所有人都已經罹難了...,
evt_js_events_choices_js_489,📖 你找到了商隊隊長的日記。,
evt_js_events_choices_js_492,從日記中你學到了一些沙漠生存技巧。,
evt_js_events_choices_js_495,💰 你找到了他們的共同基金 ${gold} 金幣。,
evt_js_events_choices_js_495_1,💰 你找到了他們的共同基金 ${gold} 金幣。,
evt_js_events_choices_js_499,😨 「倖存者」突然站起來攻擊你！,
evt_js_events_choices_js_50,💰 在廢墟中搜尋時，你發現了 ${gold} 金幣！,
evt_js_events_choices_js_500,原來是盜賊的陷阱！,
evt_js_events_choices_js_50_1,💰 在廢墟中搜尋時，你發現了 ${gold} 金幣！,
evt_js_events_choices_js_512,🔺 你發現了一座古老的金字塔！,
evt_js_events_choices_js_513,這裡充滿危險，但也蘊藏著巨大的寶藏...,
evt_js_events_choices_js_514,高額獎勵與裝備掉落機率,
evt_js_events_choices_js_54,⚔️ 還找到了 ${this.formatItem(item)}！,
evt_js_events_choices_js_54_1,⚔️ 還找到了 ${this.formatItem(item)}！,
evt_js_events_choices_js_59,💥 廢墟部分坍塌！你受到 ${damage} 點傷害。,
evt_js_events_choices_js_59_1,💥 廢墟部分坍塌！你受到 ${damage} 點傷害。,
evt_js_events_choices_js_60,🏃 你趕緊逃出廢墟，沙塵暴已經過去。,
evt_js_events_choices_js_62,🌪️ 廢墟很穩固，你安全地躲過了沙塵暴。,
evt_js_events_choices_js_63,但廢墟中沒有找到任何有價值的東西。,
evt_js_events_choices_js_67,💪 你決定勇敢面對沙塵暴！,
evt_js_events_choices_js_72,🌪️ 沙塵暴很猛烈！你損失了 ${stormDamage} HP 和 ${staminaCost} 體力。,
evt_js_events_choices_js_72_1,🌪️ 沙塵暴很猛烈！你損失了 ${stormDamage} HP 和 ${staminaCost} 體力。,
evt_js_events_choices_js_75,💎 在暴風中前行鍛鍊了你的意志，戰鬥幸運 +1！,
evt_js_events_choices_js_78,🏃 你成功穿越了沙塵暴區域，地圖進度額外 +1（${this.map_steps}/${this.map_goal}）！,
evt_js_events_choices_js_78_1,🏃 你成功穿越了沙塵暴區域，地圖進度額外 +1（${this.map_steps}/${this.map_goal}）！,
evt_js_events_choices_js_8,🌪️ 巨大的沙塵暴即將來襲！你發現了一個避難所...,
evt_js_events_choices_js_94,🧙 你遇到了一位流浪的煉金術師...,
evt_js_events_commerce_js_12,補給成功，藥水+1,
evt_js_events_commerce_js_14,金幣不足，無法購買補給。,
evt_js_events_commerce_js_8,遇到商隊：若資金足夠可補給藥水（50金/瓶）。,
evt_js_events_exploration_js_104,🛕 你發現了一座古老的神殿廢墟...,
evt_js_events_exploration_js_127,✨ 神殿的祝福降臨！最大HP +${hpValue},
evt_js_events_exploration_js_127_1,✨ 神殿的祝福降臨！最大HP +${hpValue},
evt_js_events_exploration_js_132,${t('shrineBlessing')} +${staminaValue},
evt_js_events_exploration_js_132_1,${t('shrineBlessing')} +${staminaValue},
evt_js_events_exploration_js_136,✨ 神殿的祝福降臨！戰鬥幸運 +${luckValue},
evt_js_events_exploration_js_136_1,✨ 神殿的祝福降臨！戰鬥幸運 +${luckValue},
evt_js_events_exploration_js_140,✨ 神殿的祝福降臨！金幣幸運 +${luckValue},
evt_js_events_exploration_js_140_1,✨ 神殿的祝福降臨！金幣幸運 +${luckValue},
evt_js_events_exploration_js_145,💎 你在神殿中找到了古老的寶藏！獲得 ${gold} 金幣。,
evt_js_events_exploration_js_145_1,💎 你在神殿中找到了古老的寶藏！獲得 ${gold} 金幣。,
evt_js_events_exploration_js_152,⚠️ ${curses[Math.floor(Math.random() * curses.length)]},
evt_js_events_exploration_js_152_1,⚠️ ${curses[Math.floor(Math.random() * curses.length)]},
evt_js_events_exploration_js_155,受到詛咒傷害 -${damage} HP,
evt_js_events_exploration_js_155_1,受到詛咒傷害 -${damage} HP,
evt_js_events_exploration_js_157,💥 你觸發了古老的陷阱！,
evt_js_events_exploration_js_160,陷阱造成 ${damage} 點傷害！,
evt_js_events_exploration_js_160_1,陷阱造成 ${damage} 點傷害！,
evt_js_events_exploration_js_168,🏛️ 你發現了一處古代遺跡...,
evt_js_events_exploration_js_185,⚱️ 你在遺跡中找到了古代神器 ${this.formatItem(newItem)}！,
evt_js_events_exploration_js_185_1,⚱️ 你在遺跡中找到了古代神器 ${this.formatItem(newItem)}！,
evt_js_events_exploration_js_190,📜 你研究了遺跡上的銘文，獲得了古老的知識。經驗值 +${xp},
evt_js_events_exploration_js_190_1,📜 你研究了遺跡上的銘文，獲得了古老的知識。經驗值 +${xp},
evt_js_events_exploration_js_192,💥 你觸發了遺跡的守護機關！,
evt_js_events_exploration_js_195,受到 ${damage} 點傷害！,
evt_js_events_exploration_js_195_1,受到 ${damage} 點傷害！,
