"key","zh","existing_en"
"banditLootRecovered","","💰 Recovered loot from bandits: {gold} gold!"
"critical","","CRITICAL HIT!"
"normalAttack","","Normal Attack"
"skillAttack","","Skill Attack"
"shieldGain","","Shield Gained"
"potionUse","","Used Potion"
"luckGain","","Luck Increased"
"dodgedSymbolAttack","","Dodged symbol attack!"
"luckConsumed","","Luck consumed."
"enemySymbolAttack","","Enemy Symbol Attack"
"goldGain","","Gold Gained"
"noSymbolEffect","","No effect."
"dodgedAutoAttack","","Dodged auto-attack!"
"enemyAutoAttackDamage","","Enemy hit for"
"dodgedAttack","","Dodged!"
"enemyAutoAttack","","Enemy attacks"
"damageText","","Damage"
"shieldAbsorbed","","Absorbed by shield"
"playerHp","","Player HP"
"status_burn","","Burn"
"status_hellfire","","Hellfire"
"status_bleed","","Bleed"
"status_poison","","Poison"
"status_frozen","","Frozen"
"status_shock_mage","","Shock"
"status_curse_mage","","Curse"
"buff_attack","","Attack Up"
"buff_penetration","","Penetration Up"
"buff_shield","","Shield Up"
"buff_regen","","Regeneration"
"buff_stamina","","Stamina Up"
"buff_mana","","Mana Up"
"chooseSpell","","Choose Spell"
"mageSpell","","Mage Spell"
"notSet","","Not Set"
"bloodline","","Bloodline"
"choose","","Choose"
"cancel","","Cancel"
"notUnlocked","","Locked"
"choose_bloodline","","Select Bloodline"
"bloodline_awakened","","Bloodline {name} awakened"
"bloodline_chosen","","Chosen bloodline: {name}"
"bloodline_choose_cancelled","","Bloodline selection cancelled"
"not_selected_bloodline","","No bloodline selected."
"no_flag_on_lightning","","Immune to Lightning"
"bloodline_trigger_pct","","Bloodline trigger: inflicts {pct}% burn per turn on the enemy (lasts {duration} turns)"
"bloodline_trigger_range","","Bloodline trigger (range value); shown value is locked at generation"
"bloodline_trigger_name","","Bloodline triggered: {name} (see description for details)"
"generic_bloodline_trigger_detected","","Bloodline resonance detected."
"err_not_enough_mana","","Not enough Mana!"
"err_not_in_battle_cant_spin","","Cannot spin outside battle."
"start_spinning","","Spinning..."
"please_enter_command","","Please enter a command."
"cannot_move_in_battle","","Cannot move during battle!"
"auto_spin_text_start","","Auto spin"
"auto_spin_text_stop","","Stop auto"
"test_pref","","Test Preference"
"playthrough_decremented","","Playthrough count -1"
"playthrough_incremented","","Playthrough count +1"
"playthrough_reset","","Playthrough reset"
"simulate_finish","","Simulation finished."
"test_character_select_title","","Character Select (Test)"
"test_character_select_heading","","Select a Class"
"test_character_select_desc","","Choose your path for this test run."
"test_playthrough_info","","Playthrough Info"
"playthrough_label","","Run #"
"use_game_ui","","Use Game UI"
"reset_to_zero","","Reset"
"simulate_finish_btn","","Finish Sim"
"class_mage","","Mage"
"class_warrior","","Warrior"
"class_archer","","Archer"
"not_selected","","None"
"simulate_skill_btn","","Sim Skill"
"class_desert_mage","","Desert Mage"
"not_unlocked_class","","Class not unlocked."
"level_detection_ng","","NG+ Level Detection"
"temporary_buff_expired","","Buff expired."
"reward_gold","","Reward: Gold"
"input_echo","","Input: "
"primary_symbol_msg","","Primary Symbol: "
"current_consecutive_primary","","Combo: "
"battle_luck_evaded_corpse_poison","","🎲 Battle luck activated — avoided corpse poison!"
"corpse_poison_spread","","Corpse poison spreads..."
"tier_common","","Common"
"tier_fine","","Fine"
"tier_rare","","Rare"
"tier_epic","","Epic"
"tier_legendary","","Legendary"
"switch","","Switch"
"choose_class_title","","Choose Class"
"badge_unlocked_ngplus","","Unlocked on NG+"
"select_button","","Select"
"caravanMet","","You encountered a caravan."
"supplySuccess","","Resupplied successfully."
"supplyNoGold","","You can't afford supplies."
"blackMarketMet","","Encountered the Black Market merchant: gamble for equipment from Common to Epic; up to two purchases."
"blackMarketError","","(System error: Black Market interface not loaded)"
"foundEquipmentOnBody","","You found equipment on the body."
"addedToInventoryMsg","","(added to inventory)"
"foundGoldAndItem","","Found Gold and an Item!"
"goldCoinsText","","Gold Coins"
"foundGoldOnly","","Found Gold."
"goldCoinsEnd","","coins."
"travelerNothing","","The traveler had nothing of value."
"travelerDecayed","","The body is too decayed to search."
"travelerScorpions","","Scorpions burst from the corpse!"
"minorInjury","","You sustained a minor injury."
"hpLoss","","HP lost"
"templeFound","","Discovered a Temple."
"templeBlessingMaxHp","","Blessing: Max HP increased!"
"templeBlessingCombatLuck","","Blessing: Combat Luck increased!"
"templeBlessingGoldLuck","","Blessing: Gold Luck increased!"
"templeTreasure","","You found a sacred treasure."
"curseDamage","","You took curse damage."
"trapTriggered","","Trap triggered!"
"trapDamage","","Trap damage"
"pointDamage","","damage."
"caravanRestMet","","You arrived at a caravan rest stop."
"boughtPotions","","🧪 You bought 2 potions from the caravan (cost 60 gold)"
"caravanNoGold","","The merchants refuse to trade with you."
"caravanGiftGold","","The caravan leader gifts you gold."
"thankYou","","Thank you."
"caravanGiftPotion","","They gave you a potion."
"caravanKnowledge","","They shared desert survival tips."
"caravanBandits","","Bandits were following the caravan!"
"nomadCampMet","","You found a nomad camp."
"nomadHospitality","","The nomads offer you hospitality."
"hpRestore","","HP Restored"
"staminaRestore","","Stamina Restored"
"nomadGiftItem","","The nomads gave you a parting gift."
"nomadLegends","","You listened to ancient legends."
"gainedExpAndGold","","Gained EXP and Gold."
"nomadHostile","","The nomads are hostile!"
"quicksandTrapped","","Trapped in quicksand!"
"quicksandEscaped","","You managed to escape."
"staminaConsumed","","Stamina consumed"
"quicksandDeep","","You are sinking deeper!"
"potionBroken","","A potion bottle broke in the struggle."
"scorpionNest","","You fell into a scorpion nest!"
"scorpionAvoided","","You avoided the stingers."
"scorpionStung","","You were stung!"
"poisonDamage","","Poison damage"
"scorpionSwarm","","A swarm attacks!"
"hpStaminaLoss","","Lost HP and Stamina."
"scorpionTreasure","","You found loot in the nest."
"gainedGold","","Gained Gold"
"ruinsFound","","Ancient ruins discovered."
"foundArtifact","","Found an artifact!"
"ruinsKnowledge","","Deciphered ancient texts."
"ruinsTrap","","The ruins were trapped!"
"receivedDamage","","Received damage"
"ruinsGuardian","","A guardian awakes!"
"tradingPostFound","","Trading Post Found"
"tradingPostDesc","","Buy and sell goods here."
"soldItem","","Sold item."
"obtainedGold","","Obtained Gold"
"boughtPotion","","🧪 Bought 1 potion"
"boughtFood","","🍖 Bought food: HP +30"
"fullRestore","","Full Restore"
"notEnoughGoldShop","","Not enough gold."
"leftTradingPost","","Left the trading post."
"godMet","","You encountered a Deity."
"godBlessingGold","","The god blessed your wealth."
"goldLuckBonus2","","Gold Luck ++"
"goldLuckDecreased","","Gold Luck --"
"godBlessingSimple","","You feel blessed."
"godCurse","","You have been cursed by the god."
"pyramidFound","","Pyramid Discovered"
"pyramidDanger","","The air inside is stale and dangerous."
"pyramidInfo","","Information"
"declinePyramid","","Leave"
"enterPyramid","","Enter"
"pyramidStart","","You enter the dark tomb..."
"exitPyramid","","Exit"
"pyramidComplete","","Pyramid Cleared!"
"stepCount","","Steps"
"strangerMerchant","","Strange Merchant"
"bonus","","Bonus"
"gold","","Gold"
"atkShort","","ATK"
"defShort","","DEF"
"enemy","","Enemy"
"player","","Player"
"xp","","XP"
"shield","","Shield"
"potions","","Potions"
"luckCombat","","C.Luck"
"luckGoldShort","","G.Luck"
"attackIn","","Attack in"
"enhanceBtn","","Enhance"
"sellBtn","","Sell"
"enhanceSuccess","","Enhancement Successful!"
"enhanceFailed","","Enhancement Failed!"
"enhanceLevel","","Level"
"enhanceCost","","Cost"
"currentLevel","","Current"
"tradingPostTitle","","Trading Post"
"yourGold","","Your Gold"
"supplies","","Supplies"
"potionItem","","Potion"
"foodItem","","Food Rations"
"fullHealItem","","Full Heal Elixir"
"equipmentManagement","","Manage Equipment"
"leaveStation","","Leave"
"leftStation","","You left the station."
